date,name
02-13,Carnaval
02-17,Cinzas
05-31,Corpus Christi
05-17,Dia da Constituição
03-08,Dia da Mulher
10-31,Halloween
10-12,Dia das Crianças
05-13,Dia das Mães
02-11,Finados
02-14,São Valentino
06-28,Orgulho LGBT
10-15,Dia do Professor
05-12,Dia dos Namorados
08-08,Dia dos Pais
09-05,Elevação do Amazonas a categoria de província
09-07,Independência do Brasil
12-21,Início do Verão
12-25,Natal
12-08,Nossa Senhora da Conceição
04-01,Páscoa
11-15,Proclamação da República
12-31,Reveillon
03-30,Sexta-feira Santa
04-21,Tiradentes
10-24,Aniversário de Manaus
