Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,0.94,0.94,0.95,0.75,0.91,1.00,0.80,0.95,0.94
21-01-08,0.95,0.96,0.95,1.00,1.00,1.00,0.86,0.91,0.93
21-01-10,0.91,0.90,0.94,0.48,0.91,0.82,0.95,0.88,0.89
21-01-12,0.90,0.90,0.93,0.50,1.00,0.82,0.85,0.93,0.91
21-01-14,0.94,0.95,0.96,0.88,1.00,0.64,0.83,0.87,0.90
21-01-16,0.70,0.71,0.70,0.82,0.32,0.55,0.61,0.60,0.69
21-01-18,0.60,0.66,0.73,0.71,0.25,0.47,0.59,0.55,0.59
21-01-20,0.66,0.70,0.76,0.78,0.23,0.38,0.45,0.60,0.65
21-01-22,0.60,0.62,0.57,0.76,0.22,0.40,0.52,0.54,0.59
21-01-24,0.67,0.69,0.79,0.74,0.20,0.42,0.52,0.65,0.67
21-01-26,0.73,0.76,0.81,0.77,1.00,0.44,0.58,0.50,0.70
21-01-27,0.71,0.74,0.82,0.71,1.00,0.46,0.57,0.52,0.68
21-01-29,0.73,0.75,0.75,0.78,1.00,0.48,0.61,0.73,0.73
21-01-31,0.75,0.77,0.80,0.78,1.00,0.46,0.64,0.79,0.75
21-02-01,0.73,0.77,0.85,0.77,1.00,0.44,0.55,0.58,0.71
21-02-02,0.73,0.75,0.82,0.73,1.00,0.51,0.58,0.68,0.72
21-02-06,0.72,0.78,0.88,0.73,1.00,0.58,0.48,0.59,0.70
21-02-07,0.68,0.72,0.84,0.74,0.24,0.58,0.47,0.62,0.67
21-02-08,0.73,0.79,0.86,0.75,1.00,0.63,0.44,0.65,0.71
21-02-10,0.67,0.70,0.69,0.69,1.00,0.75,0.50,0.70,0.68
21-02-11,0.77,0.82,0.93,0.72,1.00,0.82,0.55,0.63,0.74
21-02-12,0.77,0.84,0.91,0.79,1.00,0.78,0.52,0.61,0.74
21-02-14,0.77,0.85,0.90,0.82,1.00,0.70,0.53,0.57,0.73
21-02-15,0.76,0.83,0.91,0.79,1.00,0.63,0.51,0.54,0.71
21-02-16,0.76,0.83,0.89,0.79,1.00,0.71,0.58,0.64,0.73
21-02-18,0.79,0.88,0.90,0.87,1.00,0.77,0.51,0.69,0.77
21-02-20,0.74,0.84,0.89,0.82,1.00,0.62,0.42,0.67,0.72
21-02-22,0.74,0.86,0.89,0.85,1.00,0.46,0.41,0.63,0.71
21-02-24,0.72,0.84,0.90,0.81,1.00,0.54,0.49,0.73,0.72
21-02-28,0.73,0.87,0.93,0.83,1.00,0.50,0.38,0.68,0.72
21-03-02,0.76,0.89,0.98,0.84,1.00,0.42,0.44,0.70,0.74
21-03-04,0.79,0.94,1.04,0.88,1.00,0.50,0.43,0.73,0.77
21-03-07,0.74,0.88,1.01,0.79,1.00,0.46,0.42,0.74,0.74
21-03-09,0.77,0.88,1.01,0.78,1.00,0.67,0.45,0.73,0.76
21-03-11,0.78,0.89,1.02,0.79,1.00,0.75,0.42,0.76,0.77
21-03-13,0.74,0.83,0.96,0.71,1.00,0.69,0.45,0.66,0.72
21-03-15,0.76,0.86,0.95,0.79,1.00,0.58,0.41,0.66,0.73
21-03-17,0.76,0.85,0.95,0.76,1.00,0.87,0.47,0.74,0.76
21-03-19,0.77,0.85,0.90,0.80,1.00,0.69,0.50,0.78,0.78
21-03-21,0.81,0.88,0.95,0.82,1.00,0.77,0.56,0.75,0.80
21-03-23,0.81,0.89,0.96,0.83,1.00,0.54,0.55,0.72,0.80
21-03-24,0.81,0.89,0.97,0.83,1.00,0.35,0.54,0.72,0.80
21-03-26,0.80,0.87,0.93,0.81,1.00,0.69,0.53,0.83,0.80
21-03-28,0.81,0.87,0.95,0.80,1.00,0.65,0.57,0.72,0.79
21-03-30,0.82,0.88,0.96,0.80,1.00,0.77,0.61,0.76,0.81
21-04-01,0.75,0.80,0.82,0.78,1.00,0.65,0.57,0.80,0.76
21-04-03,0.76,0.80,0.80,0.80,1.00,0.50,0.63,0.71,0.75
21-04-05,0.77,0.83,0.86,0.81,1.00,0.50,0.55,0.76,0.77
21-04-05,0.77,0.83,0.86,0.81,1.00,0.50,0.55,0.76,0.77
21-04-07,0.74,0.81,0.85,0.77,1.00,0.58,0.44,0.74,0.74
21-04-09,0.76,0.83,0.86,0.78,1.00,0.73,0.50,0.81,0.77
21-04-11,0.75,0.81,0.87,0.74,1.00,0.76,0.53,0.75,0.75
21-04-12,0.75,0.80,0.85,0.74,1.00,0.80,0.53,0.77,0.75
21-04-14,0.78,0.85,0.92,0.77,1.00,0.77,0.49,0.74,0.77
21-04-14,0.78,0.85,0.92,0.77,1.00,0.77,0.49,0.74,0.77
21-04-15,0.80,0.87,0.92,0.80,1.00,0.79,0.51,0.77,0.79
21-04-16,0.78,0.85,0.92,0.77,1.00,0.81,0.53,0.78,0.78
21-04-17,0.80,0.86,0.91,0.81,1.00,0.77,0.56,0.76,0.79
21-04-18,0.82,0.89,0.94,0.84,1.00,0.79,0.54,0.77,0.81
21-04-19,0.80,0.88,0.89,0.87,1.00,0.77,0.49,0.75,0.79
21-04-20,0.79,0.86,0.87,0.84,1.00,0.79,0.53,0.74,0.78
21-04-21,0.78,0.85,0.89,0.83,1.00,0.75,0.49,0.74,0.77
21-04-22,0.79,0.86,0.89,0.82,1.00,0.79,0.52,0.73,0.78
21-04-23,0.78,0.85,0.87,0.82,1.00,0.85,0.47,0.76,0.78
21-04-24,0.77,0.85,0.87,0.82,1.00,0.82,0.48,0.77,0.77
21-04-25,0.79,0.86,0.89,0.83,1.00,0.83,0.51,0.74,0.78
21-04-26,0.82,0.87,0.90,0.84,1.00,0.75,0.62,0.75,0.81
21-04-27,0.79,0.84,0.90,0.79,1.00,0.71,0.56,0.77,0.78
21-04-28,0.81,0.86,0.97,0.76,1.00,0.73,0.58,0.70,0.78
21-04-29,0.80,0.86,0.97,0.75,1.00,0.75,0.55,0.81,0.80
21-04-30,0.80,0.85,0.94,0.76,1.00,0.77,0.56,0.79,0.80
21-05-01,0.80,0.85,0.95,0.76,1.00,0.75,0.54,0.78,0.79
21-05-02,0.84,0.91,1.01,0.81,1.00,0.81,0.53,0.75,0.81
21-05-03,0.83,0.90,1.00,0.79,1.00,0.81,0.56,0.71,0.80
21-05-04,0.81,0.87,0.98,0.76,1.00,0.87,0.57,0.72,0.79
21-05-05,0.83,0.89,1.01,0.76,1.00,0.86,0.59,0.75,0.81
21-05-06,0.78,0.85,0.93,0.79,0.69,0.79,0.51,0.77,0.78
21-05-07,0.81,0.86,0.92,0.80,1.00,0.77,0.56,0.75,0.80
21-05-09,0.79,0.85,0.93,0.76,1.00,0.78,0.55,0.73,0.78
21-05-09,0.79,0.85,0.93,0.76,1.00,0.78,0.55,0.73,0.78
21-05-12,0.83,0.89,0.98,0.81,1.00,0.75,0.56,0.72,0.81
21-05-11,0.81,0.86,0.92,0.80,1.00,0.73,0.60,0.71,0.79
21-05-13,0.81,0.87,0.93,0.81,1.00,0.71,0.58,0.75,0.80
21-05-14,0.81,0.87,0.93,0.81,1.00,0.75,0.58,0.75,0.80
21-05-15,0.79,0.86,0.89,0.83,1.00,0.75,0.50,0.77,0.79
21-05-15,0.79,0.86,0.89,0.83,1.00,0.75,0.50,0.77,0.79
21-05-17,0.81,0.87,0.94,0.81,1.00,0.76,0.55,0.73,0.79
21-05-18,0.79,0.84,0.86,0.80,1.00,0.76,0.59,0.72,0.77
