Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,0.93,1.00,,,,,0.00,1.00,0.95
21-01-08,0.84,0.85,0.85,,,,0.50,0.77,0.81
21-01-10,0.80,0.83,0.83,,,,0.00,0.83,0.81
21-01-12,0.85,0.88,0.88,,,,0.00,0.75,0.82
21-01-14,0.83,0.86,0.94,,,,0.00,0.78,0.82
21-01-16,0.74,0.76,0.95,,,,0.00,0.67,0.73
21-01-18,0.88,0.91,1.19,,,,0.67,0.44,0.78
21-01-20,0.89,0.90,1.08,,,,1.00,0.61,0.84
21-01-22,0.83,0.84,0.94,0.17,,,1.00,0.83,0.83
21-01-24,0.78,0.80,0.85,0.00,,,0.50,0.94,0.81
21-01-26,0.82,0.84,0.90,0.00,,,0.00,0.67,0.79
21-01-27,0.87,0.88,0.96,0.17,,,1.00,0.50,0.78
21-01-29,1.08,0.82,0.86,0.17,1.00,0.00,0.50,0.83,1.04
21-01-31,1.07,0.81,0.88,0.17,0.80,0.00,0.00,0.57,0.97
21-02-01,1.13,0.85,0.91,0.17,1.00,0.00,0.00,0.48,0.99
21-02-02,1.08,0.85,0.89,0.20,1.00,0.00,0.00,0.69,0.99
21-02-06,0.97,0.79,0.87,0.33,0.62,0.00,0.00,0.16,0.79
21-02-07,0.87,0.71,0.91,0.00,0.00,0.00,0.00,0.15,0.70
21-02-08,0.86,0.65,0.79,0.20,0.00,0.00,0.50,0.29,0.76
21-02-10,0.88,0.69,0.84,0.00,0.25,0.00,0.00,0.29,0.79
21-02-11,0.88,0.74,0.90,0.00,0.25,0.00,0.00,0.29,0.77
21-02-12,0.88,0.78,0.90,0.67,0.25,0.00,0.00,0.19,0.73
21-02-14,0.76,0.77,0.84,0.00,0.62,0.00,0.00,0.17,0.65
21-02-15,0.77,0.75,0.88,0.00,0.25,0.00,0.50,0.19,0.67
21-02-16,0.74,0.69,0.83,0.00,0.00,0.00,0.00,0.57,0.73
21-02-18,0.73,0.76,0.88,0.00,0.25,0.00,0.50,0.57,0.72
21-02-20,0.63,0.65,0.82,0.00,0.00,0.00,0.00,0.57,0.63
21-02-22,0.65,0.67,0.82,0.00,0.25,0.00,0.00,0.57,0.64
21-02-24,0.45,0.54,0.62,0.00,0.17,0.00,0.00,0.80,0.47
21-02-28,0.53,0.61,0.68,0.00,0.25,0.00,0.00,0.33,0.52
21-03-02,0.38,0.49,0.48,0.33,1.00,0.00,0.00,0.50,0.39
21-03-04,0.54,0.68,0.68,0.75,0.60,0.00,0.00,0.80,0.55
21-03-07,0.50,0.59,0.62,0.00,0.00,0.00,0.00,0.43,0.49
21-03-09,0.45,0.56,0.58,0.25,0.00,0.00,0.00,0.60,0.46
21-03-11,0.49,0.51,0.58,0.00,0.00,0.00,0.00,0.60,0.50
21-03-13,0.46,0.47,0.54,0.00,0.00,0.00,0.00,0.60,0.47
