Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,0.93,1.00,,,,,0.50,,0.93
21-01-08,0.88,0.88,0.88,,,,0.88,,0.88
21-01-10,0.83,0.90,0.90,,,,0.38,,0.79
21-01-12,0.76,0.85,0.92,,,,0.12,,0.76
21-01-14,0.78,0.84,0.90,,,,0.38,,0.80
21-01-16,0.75,0.84,0.94,,,,0.12,,0.72
21-01-18,0.66,0.86,0.98,0.25,,,0.14,0.54,0.64
21-01-20,0.83,0.92,1.00,0.25,,,0.25,0.33,0.78
21-01-22,0.88,0.92,1.00,0.25,,,0.50,0.33,0.80
21-01-24,0.85,0.89,0.96,0.25,,,0.57,0.25,0.76
21-01-26,0.83,0.91,0.98,0.00,,,0.00,0.25,0.79
21-01-27,0.86,0.91,0.95,0.25,,,0.25,0.38,0.83
21-01-29,0.76,0.93,0.98,0.00,0.00,0.00,0.00,0.33,0.73
21-01-31,0.74,0.93,0.99,0.25,0.00,0.00,0.25,0.36,0.71
21-02-01,0.78,0.92,0.97,0.00,0.00,0.00,0.25,0.27,0.74
21-02-02,0.78,0.90,0.92,0.50,0.00,0.00,0.25,0.44,0.77
21-02-06,0.75,0.90,0.97,0.25,0.00,0.00,0.12,0.18,0.69
21-02-07,0.63,0.86,0.96,0.00,0.00,0.00,0.12,0.18,0.58
21-02-08,0.81,0.93,0.97,0.00,0.00,0.00,0.14,0.18,0.77
21-02-10,0.71,0.92,0.97,0.50,0.00,0.00,0.12,0.62,0.70
21-02-11,0.71,0.92,0.97,0.50,0.00,0.00,0.00,0.36,0.68
21-02-12,0.78,0.95,0.98,0.50,0.00,0.00,0.12,0.00,0.71
21-02-14,0.85,0.93,0.98,0.00,0.00,0.00,0.50,0.18,0.78
21-02-15,0.83,0.93,0.98,0.00,0.00,0.00,0.50,0.09,0.76
21-02-16,0.85,0.94,0.98,0.00,0.00,0.00,0.38,0.25,0.81
21-02-18,0.79,0.96,0.98,1.00,0.00,0.00,0.12,0.11,0.74
21-02-20,0.85,0.95,0.98,0.50,0.00,0.00,0.00,0.11,0.80
21-02-22,0.81,0.85,0.87,0.00,0.00,0.00,0.12,0.22,0.79
21-02-24,0.72,0.93,0.97,0.50,0.00,0.00,0.12,0.17,0.68
21-02-28,0.82,0.96,0.98,1.00,0.00,0.00,0.12,0.11,0.77
21-03-02,0.80,0.94,0.97,0.50,0.00,0.00,0.00,0.22,0.75
21-03-04,0.82,0.95,0.98,0.50,0.00,0.00,0.25,0.00,0.77
21-03-07,0.88,0.96,0.99,0.00,0.00,0.00,0.25,0.12,0.85
21-03-09,0.77,0.92,0.97,0.50,0.00,0.00,0.12,0.00,0.72
21-03-11,0.69,0.75,0.77,0.50,0.00,0.00,0.12,0.00,0.63
21-03-13,0.93,0.97,0.99,0.50,0.00,0.00,0.25,0.31,0.87
21-03-15,0.89,0.94,0.97,0.50,0.00,0.00,0.50,0.40,0.82
21-03-17,0.86,0.94,0.98,0.50,0.00,0.00,0.12,0.33,0.79
21-03-19,0.83,0.88,0.90,0.50,0.00,0.00,0.12,0.29,0.78
21-03-21,0.82,0.88,0.89,1.00,0.00,0.00,0.12,0.31,0.77
21-03-23,0.80,0.85,0.87,0.50,0.00,0.00,0.00,0.29,0.75
21-03-24,0.71,0.77,0.78,1.00,0.00,0.00,0.00,0.21,0.65
21-03-26,0.80,0.82,0.85,0.00,0.00,0.00,0.25,0.25,0.74
21-03-28,0.82,0.86,0.88,0.50,0.00,0.00,0.25,0.12,0.78
21-03-30,0.78,0.83,0.85,0.50,0.00,0.00,0.12,0.21,0.72
21-04-01,0.87,0.91,0.92,1.00,0.00,0.00,0.25,0.21,0.83
21-04-03,0.88,0.92,0.93,0.50,0.00,0.00,0.25,0.00,0.82
21-04-05,0.75,0.80,0.83,0.00,0.00,0.00,0.12,0.07,0.67
21-04-05,0.75,0.80,0.83,0.00,0.00,0.00,0.12,0.07,0.67
21-04-07,0.81,0.85,0.87,0.50,0.00,0.00,0.38,0.29,0.76
21-04-09,0.81,0.86,0.88,0.50,0.00,0.00,0.22,0.29,0.77
21-04-11,0.88,0.90,0.91,0.50,0.00,0.00,0.50,0.14,0.83
21-04-12,0.79,0.83,0.85,0.00,0.00,0.00,0.38,0.21,0.74
21-04-14,0.86,0.89,0.92,0.00,0.00,0.00,0.33,0.21,0.80
21-04-14,0.86,0.89,0.92,0.00,0.00,0.00,0.33,0.21,0.80
21-04-15,0.87,0.91,0.93,0.00,0.00,0.00,0.00,0.14,0.82
21-04-16,0.81,0.85,0.87,0.50,0.00,0.00,0.25,0.21,0.75
21-04-17,0.85,0.89,0.93,0.00,0.00,0.00,0.38,0.00,0.77
21-04-18,0.86,0.90,0.94,0.00,0.00,0.00,0.25,0.00,0.78
21-04-19,0.88,0.91,0.93,0.50,0.00,0.00,0.25,0.25,0.83
21-04-20,0.80,0.84,0.86,0.00,0.00,0.00,0.22,0.19,0.74
21-04-21,0.86,0.89,0.90,1.00,0.00,0.00,0.50,0.14,0.79
21-04-22,0.85,0.88,0.89,0.50,0.00,0.00,0.50,0.14,0.79
21-04-23,0.86,0.89,0.91,0.50,0.00,0.00,0.38,0.14,0.79
21-04-24,0.91,0.94,0.97,0.50,0.00,0.00,0.50,0.07,0.82
21-04-25,0.86,0.91,0.94,0.00,0.00,0.00,0.12,0.00,0.78
21-04-26,0.86,0.91,0.93,0.00,0.00,0.00,0.12,0.00,0.80
21-04-27,0.87,0.91,0.93,0.00,0.00,0.00,0.00,0.07,0.81
21-04-28,0.84,0.88,0.90,0.00,0.00,0.00,0.00,0.07,0.78
21-04-29,0.81,0.86,0.88,0.50,0.00,0.00,0.12,0.07,0.74
21-04-30,0.86,0.90,0.92,0.50,0.00,0.00,0.17,0.00,0.79
21-05-01,0.84,0.89,0.92,0.50,0.00,0.00,0.12,0.08,0.77
21-05-02,0.86,0.91,0.95,0.25,0.00,0.00,0.12,0.00,0.77
21-05-03,0.84,0.88,0.89,1.00,0.00,0.00,0.14,0.00,0.77
21-05-04,0.88,0.92,0.93,0.50,0.00,0.00,0.14,0.00,0.82
21-05-05,0.83,0.88,0.91,0.33,0.00,0.00,0.25,0.00,0.75
21-05-06,0.84,0.88,0.90,0.50,0.00,0.00,0.00,0.14,0.78
21-05-07,0.78,0.82,0.86,0.00,0.00,0.00,0.29,0.00,0.70
21-05-09,0.85,0.88,0.92,0.00,0.00,0.00,0.29,0.06,0.77
21-05-12,0.85,0.89,0.92,0.00,0.00,0.50,0.29,0.00,0.77
21-05-11,0.85,0.86,0.90,0.00,0.00,0.00,0.71,0.00,0.77
21-05-13,0.80,0.84,0.88,0.00,0.00,0.00,0.14,0.00,0.72
21-05-14,0.78,0.81,0.84,0.00,0.00,0.00,0.43,0.00,0.70
21-05-15,0.82,0.85,0.88,0.33,0.00,0.00,0.29,0.00,0.73
21-05-17,0.83,0.87,0.90,0.00,0.00,0.00,0.14,0.12,0.76
21-05-18,0.82,0.88,0.90,0.33,0.00,0.00,0.00,0.00,0.74
21-05-19,0.91,0.93,0.94,0.33,0.00,1.00,0.43,0.16,0.83
21-05-20,0.85,0.88,0.91,0.33,0.00,0.00,0.38,0.16,0.77
21-05-21,0.87,0.90,0.94,0.00,0.00,0.00,0.38,0.12,0.79
21-05-22,0.82,0.86,0.88,0.67,0.00,0.00,0.25,0.12,0.75
21-05-23,0.81,0.85,0.88,0.33,0.00,0.00,0.25,0.12,0.73
21-05-24,0.84,0.88,0.91,0.00,0.00,0.00,0.38,0.12,0.76
21-05-25,0.86,0.91,0.94,0.67,0.00,0.00,0.22,0.27,0.78
21-05-26,0.83,0.87,0.91,0.00,0.00,0.00,0.25,0.18,0.73
21-05-27,0.85,0.88,0.90,0.75,0.00,0.00,0.50,0.18,0.75
21-05-28,0.78,0.83,0.84,0.67,0.00,0.00,0.12,0.14,0.70
21-05-29,0.84,0.89,0.93,0.00,0.00,0.00,0.25,0.14,0.73
21-05-30,0.84,0.89,0.92,0.33,0.00,0.00,0.25,0.05,0.73
21-05-31,0.83,0.88,0.92,0.00,0.00,0.00,0.12,0.00,0.71
21-06-01,0.86,0.91,0.94,0.33,0.00,0.00,0.25,0.05,0.73
21-06-02,0.83,0.87,0.91,0.00,0.00,0.00,0.38,0.14,0.72
21-06-03,0.80,0.86,0.89,0.00,0.00,0.00,0.12,0.09,0.68
21-06-04,0.82,0.87,0.91,0.00,0.00,0.00,0.25,0.14,0.72
21-06-05,0.86,0.90,0.92,1.00,0.00,0.00,0.38,0.10,0.75
21-06-06,0.82,0.86,0.90,0.00,0.00,0.00,0.25,0.00,0.69
21-06-07,0.83,0.89,0.92,0.00,0.00,0.00,0.12,0.05,0.73
21-06-08,0.84,0.89,0.92,0.00,0.00,0.00,0.25,0.05,0.74
21-06-09,0.83,0.88,0.89,1.00,0.00,0.00,0.25,0.10,0.73
21-06-10,0.83,0.86,0.90,0.00,0.00,0.00,0.38,0.14,0.73
21-06-11,0.85,0.88,0.91,0.00,0.00,0.00,0.50,0.14,0.75
21-06-12,0.83,0.87,0.89,0.00,0.00,0.00,0.38,0.15,0.75
21-06-13,0.84,0.90,0.94,0.00,0.00,0.00,0.00,0.15,0.74
21-06-14,0.88,0.92,0.95,0.33,0.00,0.00,0.25,0.45,0.83
21-06-15,0.83,0.89,0.93,0.00,0.00,0.00,0.00,0.45,0.78
21-06-16,0.84,0.90,0.93,0.33,0.00,0.00,0.00,0.15,0.76
21-06-17,0.88,0.92,0.94,1.00,0.00,0.00,0.25,0.20,0.79
21-06-18,0.77,0.81,0.84,0.25,0.00,0.00,0.12,0.17,0.70
21-06-19,0.90,0.93,0.95,0.50,0.00,0.00,0.56,0.06,0.81
21-06-21,0.85,0.88,0.91,0.00,0.00,0.00,0.29,0.15,0.77
21-06-22,0.85,0.89,0.91,0.33,0.00,0.00,0.25,0.23,0.77
21-06-23,0.83,0.88,0.90,0.50,0.00,0.00,0.12,0.15,0.75
21-06-25,0.82,0.87,0.89,0.50,0.00,0.00,0.12,0.10,0.74
21-06-26,0.78,0.82,0.85,0.25,0.00,0.00,0.00,0.11,0.71
21-06-27,0.85,0.88,0.91,0.00,0.00,0.00,0.50,0.11,0.76
21-06-28,0.78,0.81,0.84,0.00,0.00,0.00,0.25,0.17,0.71
21-06-29,0.83,0.85,0.88,0.00,0.00,0.00,0.57,0.11,0.75
21-07-01,0.84,0.88,0.90,0.67,0.00,0.00,0.14,0.17,0.77
21-07-02,0.69,0.71,0.72,0.67,0.00,0.00,0.29,0.17,0.63
21-07-04,0.85,0.88,0.93,0.00,0.00,0.00,0.43,0.11,0.77
21-07-05,0.84,0.86,0.91,0.00,0.00,0.00,0.57,0.17,0.77
21-07-06,0.78,0.78,0.80,0.50,0.00,0.00,0.71,0.11,0.71
21-07-07,0.76,0.80,0.85,0.00,0.00,0.00,0.00,0.06,0.69
21-07-09,0.83,0.86,0.90,0.20,0.00,0.00,0.29,0.06,0.74
21-07-10,0.83,0.85,0.89,0.20,0.00,0.00,0.71,0.06,0.75
21-07-11,0.83,0.87,0.91,0.20,0.00,0.00,0.29,0.06,0.74
21-07-12,0.82,0.86,0.89,0.50,0.00,0.00,0.14,0.11,0.74
21-07-13,0.80,0.85,0.88,0.20,0.00,0.00,0.22,0.11,0.73
21-07-14,0.81,0.84,0.87,0.25,0.00,0.00,0.14,0.11,0.73
21-07-15,0.79,0.82,0.85,0.00,0.00,0.00,0.29,0.11,0.71
21-07-16,0.83,0.86,0.91,0.00,0.00,0.00,0.29,0.11,0.75
21-07-18,0.85,0.87,0.92,0.00,0.00,0.00,0.43,0.11,0.77
21-07-19,0.83,0.87,0.90,0.20,0.00,0.00,0.00,0.11,0.76
21-07-20,0.82,0.85,0.89,0.00,0.00,0.00,0.14,0.06,0.75
21-07-21,0.86,0.88,0.91,0.50,0.00,0.00,0.43,0.11,0.78
21-07-24,0.82,0.85,0.88,0.20,0.00,0.00,0.29,0.11,0.75
