Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,0.94,0.94,0.95,0.75,0.91,1.00,0.80,0.95,0.94
21-01-08,0.95,0.96,0.95,1.00,1.00,1.00,0.86,0.91,0.93
21-01-10,0.91,0.90,0.94,0.48,0.91,0.82,0.95,0.88,0.89
21-01-12,0.90,0.90,0.93,0.50,1.00,0.82,0.85,0.93,0.91
21-01-14,0.94,0.95,0.96,0.88,1.00,0.64,0.83,0.87,0.90
21-01-16,1.04,1.05,1.08,0.92,0.91,0.91,0.85,0.87,0.95
21-01-18,0.98,0.98,0.96,1.56,0.92,0.73,0.91,0.98,0.98
21-01-20,0.95,0.96,0.98,0.84,1.00,0.64,0.73,0.94,0.94
21-01-22,0.95,0.97,0.98,0.85,1.00,0.73,0.68,0.94,0.95
21-01-24,0.97,0.99,1.00,0.85,1.00,1.00,0.67,0.93,0.95
21-01-26,0.89,0.91,0.93,0.85,1.00,0.55,0.70,0.90,0.90
21-01-27,0.90,0.92,0.93,0.86,1.00,0.73,0.74,0.91,0.90
21-01-29,0.91,0.92,0.92,0.85,1.00,1.00,0.74,0.92,0.91
21-01-31,0.90,0.91,0.91,0.86,1.00,0.91,0.70,0.93,0.91
21-02-01,0.97,0.99,1.01,0.87,1.00,0.73,0.64,0.91,0.94
21-02-02,0.94,0.96,0.99,0.74,1.00,0.64,0.65,0.92,0.93
21-02-06,0.88,0.91,0.94,0.84,0.82,0.64,0.57,0.96,0.92
21-02-07,0.92,0.96,1.00,0.80,0.64,0.64,0.52,0.98,0.95
21-02-08,0.90,0.94,0.97,0.86,0.73,0.36,0.52,0.98,0.94
21-02-10,0.90,0.94,0.99,0.80,0.64,0.27,0.57,0.97,0.93
21-02-11,0.88,0.91,0.93,0.86,0.91,0.27,0.55,0.97,0.92
21-02-12,0.88,0.90,0.92,0.96,0.82,0.18,0.45,0.96,0.92
21-02-14,0.91,0.94,0.96,0.95,1.00,0.18,0.47,0.95,0.93
21-02-15,0.91,0.93,0.95,0.96,0.91,0.18,0.47,0.96,0.93
21-02-16,0.93,0.95,0.95,1.00,0.91,1.00,0.53,0.91,0.92
21-02-18,0.90,0.92,0.94,0.88,1.00,0.45,0.39,0.90,0.90
21-02-20,0.93,0.95,0.97,0.85,0.82,0.70,0.44,0.87,0.91
21-02-22,0.90,0.92,0.94,0.90,0.55,0.80,0.56,0.84,0.88
21-02-24,0.89,0.92,0.95,0.95,0.45,0.30,0.39,0.85,0.88
21-02-28,0.90,0.92,0.95,0.68,0.50,0.50,0.44,0.78,0.86
21-03-02,0.86,0.88,0.90,0.93,0.83,0.18,0.39,0.73,0.82
21-03-04,0.86,0.87,0.88,1.00,1.00,0.20,0.62,0.75,0.83
21-03-07,0.80,0.80,0.80,0.71,1.00,0.91,0.56,0.79,0.80
21-03-09,0.86,0.86,0.89,0.80,0.67,0.20,0.56,0.77,0.83
21-03-11,0.86,0.86,0.87,0.90,0.67,0.80,0.56,0.72,0.82
21-03-13,0.81,0.82,0.85,0.48,0.33,0.70,0.56,0.76,0.80
21-03-15,0.82,0.83,0.85,0.53,0.33,0.80,0.44,0.74,0.80
21-03-17,0.79,0.80,0.82,0.53,0.33,0.80,0.33,0.75,0.78
21-03-19,0.82,0.83,0.84,0.90,0.33,0.80,0.33,0.71,0.79
21-03-21,0.79,0.80,0.82,0.70,0.33,0.50,0.44,0.73,0.78
21-03-23,0.76,0.77,0.78,0.78,0.33,0.50,0.33,0.74,0.75
21-03-24,0.75,0.77,0.78,0.89,0.50,0.30,0.33,0.71,0.74
21-03-26,0.73,0.74,0.75,0.78,0.33,0.90,0.29,0.75,0.73
21-03-28,0.78,0.80,0.81,0.78,0.33,0.80,0.33,0.69,0.76
21-03-30,0.80,0.82,0.85,0.64,0.33,0.30,0.33,0.70,0.77
21-04-01,0.82,0.84,0.87,0.50,0.33,0.80,0.33,0.72,0.80
21-04-03,0.75,0.77,0.78,0.43,0.67,0.80,0.44,0.66,0.73
21-04-05,0.77,0.79,0.81,0.36,0.33,1.00,0.44,0.68,0.75
21-04-05,0.77,0.79,0.81,0.36,0.33,1.00,0.44,0.68,0.75
21-04-07,0.80,0.82,0.84,0.43,0.33,1.00,0.44,0.67,0.76
21-04-09,0.77,0.79,0.82,0.43,0.33,0.80,0.33,0.63,0.73
21-04-11,0.77,0.78,0.81,0.36,0.33,0.90,0.33,0.64,0.73
21-04-12,0.79,0.81,0.82,0.50,0.33,1.00,0.44,0.64,0.75
21-04-14,0.77,0.79,0.80,0.71,0.33,1.00,0.33,0.64,0.74
21-04-14,0.77,0.79,0.80,0.71,0.33,1.00,0.33,0.64,0.74
21-04-15,0.77,0.79,0.81,0.47,0.33,1.00,0.33,0.64,0.73
21-04-16,0.71,0.73,0.75,0.43,0.33,1.00,0.00,0.66,0.69
21-04-17,0.71,0.74,0.76,0.36,0.33,1.00,0.00,0.65,0.69
21-04-18,0.69,0.71,0.73,0.43,0.33,1.00,0.00,0.65,0.68
21-04-19,0.70,0.73,0.75,0.50,0.17,1.00,0.00,0.64,0.69
21-04-20,0.71,0.74,0.76,0.50,0.17,1.00,0.10,0.66,0.70
21-04-21,0.70,0.73,0.75,0.43,0.33,1.00,0.00,0.64,0.68
21-04-22,0.67,0.69,0.72,0.36,0.17,1.00,0.00,0.62,0.66
21-04-23,0.67,0.68,0.71,0.43,0.17,1.00,0.00,0.59,0.65
21-04-24,0.65,0.67,0.69,0.43,0.17,1.00,0.00,0.59,0.64
21-04-25,0.65,0.67,0.68,0.62,0.00,1.00,0.00,0.66,0.65
21-04-26,0.61,0.63,0.64,0.60,0.00,1.00,0.00,0.58,0.60
21-04-27,0.60,0.62,0.63,0.53,0.00,1.00,0.00,0.55,0.58
21-04-28,0.61,0.63,0.64,0.60,0.17,1.00,0.00,0.52,0.59
21-04-29,0.57,0.60,0.62,0.40,0.17,1.00,0.07,0.49,0.55
21-04-30,0.59,0.61,0.63,0.33,0.17,1.00,0.00,0.45,0.55
21-05-01,0.60,0.62,0.64,0.38,0.17,0.00,0.00,0.49,0.57
21-05-02,0.61,0.63,0.65,0.47,0.17,0.00,0.00,0.48,0.58
21-05-03,0.61,0.62,0.63,0.40,0.50,1.00,0.00,0.51,0.58
21-05-04,0.57,0.59,0.61,0.31,0.33,1.00,0.00,0.49,0.55
21-05-05,0.57,0.58,0.60,0.23,0.33,1.00,0.00,0.51,0.55
21-05-06,0.55,0.56,0.58,0.23,0.33,1.00,0.00,0.46,0.53
21-05-07,0.56,0.58,0.61,0.13,0.50,1.00,0.00,0.46,0.54
21-05-09,0.58,0.58,0.60,0.27,0.67,0.00,0.11,0.40,0.53
21-05-12,0.54,0.55,0.57,0.23,0.67,0.30,0.11,0.44,0.52
21-05-11,0.54,0.55,0.56,0.23,0.67,0.00,0.11,0.41,0.51
21-05-13,0.55,0.56,0.57,0.23,0.67,0.00,0.10,0.47,0.53
21-05-14,0.56,0.57,0.59,0.23,0.50,0.00,0.00,0.46,0.53
21-05-15,0.56,0.58,0.59,0.54,0.50,0.00,0.00,0.49,0.55
21-05-17,0.58,0.60,0.60,0.62,0.33,0.00,0.20,0.46,0.56
21-05-18,0.57,0.58,0.60,0.62,0.00,0.00,0.20,0.38,0.53
21-05-19,0.57,0.58,0.59,0.70,0.00,0.00,0.11,0.52,0.57
21-05-20,0.59,0.60,0.62,0.50,0.17,0.00,0.00,0.49,0.57
