Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,0.63,0.62,0.42,0.92,0.89,0.46,0.65,0.79,0.67
21-01-08,0.67,0.67,0.65,0.69,0.67,0.70,0.64,0.77,0.69
21-01-10,0.59,0.57,0.65,0.54,0.44,0.50,0.63,0.63,0.60
21-01-12,0.67,0.68,0.77,0.67,0.83,0.36,0.62,0.84,0.71
21-01-14,0.69,0.70,0.72,0.77,0.50,0.50,0.64,0.85,0.73
21-01-16,0.75,0.76,0.87,0.81,0.44,0.33,0.70,0.82,0.76
21-01-18,0.73,0.76,0.82,0.90,0.44,0.36,0.63,0.83,0.76
21-01-20,0.73,0.75,0.76,0.94,0.56,0.24,0.69,0.79,0.75
21-01-22,0.75,0.78,0.83,0.87,0.80,0.38,0.65,0.85,0.77
21-01-24,0.75,0.76,0.79,0.92,0.56,0.36,0.71,0.84,0.77
21-01-26,0.78,0.84,0.87,0.90,0.67,0.67,0.60,0.85,0.80
21-01-27,0.74,0.82,0.89,0.92,0.44,0.57,0.48,0.80,0.75
21-01-29,0.72,0.79,0.78,0.90,0.67,0.50,0.55,0.78,0.74
21-01-31,0.76,0.84,0.84,0.90,1.00,0.63,0.53,0.75,0.76
21-02-01,0.74,0.82,0.87,0.82,0.44,1.00,0.54,0.73,0.74
21-02-02,0.72,0.77,0.76,0.95,0.44,0.41,0.60,0.74,0.73
21-02-06,0.65,0.68,0.77,0.79,1.00,0.18,0.59,0.88,0.71
21-02-07,0.69,0.68,0.81,0.81,0.40,0.18,0.72,0.91,0.75
21-02-08,0.76,0.81,0.84,0.82,1.00,0.68,0.65,0.85,0.79
21-02-10,0.83,0.88,0.87,0.85,1.00,0.95,0.68,0.91,0.86
21-02-11,0.82,0.90,0.90,0.86,1.00,1.00,0.64,0.79,0.81
21-02-12,0.84,0.91,0.81,0.89,1.00,1.11,0.65,0.87,0.85
21-02-14,0.83,0.90,0.85,0.89,1.00,1.00,0.63,0.82,0.83
21-02-15,0.80,0.86,0.76,0.93,1.00,0.77,0.65,0.78,0.80
21-02-16,0.85,0.92,0.93,0.94,1.00,0.73,0.65,0.37,0.62
21-02-18,0.83,0.90,0.77,0.95,1.00,0.91,0.65,0.79,0.82
21-02-20,0.81,0.85,0.80,0.92,1.00,0.70,0.70,0.86,0.82
21-02-22,0.79,0.84,0.78,0.95,1.00,0.57,0.63,0.85,0.80
21-02-24,0.76,0.82,0.81,0.89,1.00,0.57,0.61,0.88,0.80
21-02-28,0.68,0.82,0.78,0.90,1.00,0.64,0.61,0.81,0.72
21-03-02,0.73,0.79,0.72,0.89,1.00,0.55,0.59,0.88,0.78
21-03-04,0.73,0.83,0.81,0.86,1.00,0.74,0.50,0.78,0.75
21-03-07,0.70,0.79,0.74,0.88,1.00,0.52,0.50,0.89,0.77
21-03-09,0.76,0.84,0.83,0.88,1.00,0.70,0.55,0.78,0.77
21-03-11,0.76,0.84,0.86,0.89,1.00,0.57,0.55,0.86,0.79
