Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,"62,64%","62,02%","42,42%","91,67%","88,89%","46,43%","64,91%","78,65%","66,67%"
21-01-08,"66,67%","67,46%","65,08%","68,83%","66,67%","70,00%","64,15%","76,83%","69,41%"
21-01-10,"58,60%","57,23%","65,08%","54,17%","44,44%","50,00%","63,27%","62,65%","59,73%"
21-01-12,"66,67%","67,86%","77,46%","66,67%","83,33%","36,36%","62,50%","83,82%","70,77%"
21-01-14,"68,87%","70,24%","71,64%","77,46%","50,00%","50,00%","63,64%","84,72%","72,89%"
21-01-16,"74,52%","75,60%","87,30%","81,33%","44,44%","33,33%","70,00%","81,82%","76,28%"
21-01-18,"73,03%","75,91%","81,82%","90,32%","44,44%","36,36%","63,41%","83,12%","76,08%"
21-01-20,"73,26%","74,65%","75,51%","93,65%","55,56%","23,81%","68,89%","78,69%","74,60%"
21-01-22,"74,57%","77,69%","82,93%","87,30%","80,00%","38,10%","65,12%","85,00%","77,25%"
21-01-24,"75,00%","76,15%","79,49%","91,67%","55,56%","36,36%","71,43%","84,13%","77,45%"
21-01-26,"78,09%","83,70%","86,67%","90,00%","66,67%","66,67%","60,47%","84,75%","79,75%"
21-01-27,"73,74%","82,22%","88,89%","91,67%","44,44%","57,14%","47,73%","80,00%","75,31%"
21-01-29,"72,05%","78,63%","78,13%","90,00%","66,67%","50,00%","54,55%","77,59%","73,52%"
21-01-31,"75,78%","84,48%","84,38%","90,16%","100,00%","63,16%","53,33%","75,44%","75,69%"
21-02-01,"74,21%","82,30%","87,10%","82,26%","44,44%","100,00%","54,35%","72,58%","73,76%"
21-02-02,"72,02%","76,86%","75,86%","95,08%","44,44%","40,91%","59,57%","74,19%","72,61%"
21-02-06,"65,45%","68,07%","77,42%","78,69%","100,00%","18,18%","58,70%","87,50%","71,04%"
21-02-07,"68,67%","67,50%","80,65%","80,65%","40,00%","18,18%","71,74%","90,63%","74,78%"
21-02-08,"76,36%","80,67%","83,87%","82,26%","100,00%","68,18%","65,22%","85,25%","78,76%"
21-02-10,"83,12%","88,03%","86,67%","85,00%","100,00%","95,45%","67,57%","91,30%","85,65%"
21-02-11,"82,21%","89,66%","89,66%","85,71%","100,00%","100,00%","63,83%","79,17%","81,28%"
21-02-12,"83,73%","90,83%","81,25%","88,89%","100,00%","110,53%","65,22%","87,30%","84,72%"
21-02-14,"82,74%","90,16%","84,85%","88,52%","100,00%","100,00%","63,04%","81,97%","82,53%"
21-02-15,"80,36%","86,07%","76,47%","93,44%","100,00%","77,27%","65,22%","78,46%","79,83%"
21-02-16,"84,66%","92,19%","93,02%","94,03%","100,00%","72,73%","64,58%","36,88%","61,90%"
21-02-18,"83,14%","89,68%","77,14%","95,08%","100,00%","90,91%","65,22%","79,41%","82,08%"
21-02-20,"80,59%","84,68%","80,00%","91,80%","100,00%","69,57%","69,57%","86,11%","82,23%"
21-02-22,"78,53%","83,97%","77,78%","95,45%","100,00%","56,52%","63,04%","85,29%","80,41%"
21-02-24,"76,40%","81,82%","81,08%","89,39%","100,00%","56,52%","60,87%","87,67%","79,68%"
21-02-28,"68,25%","81,82%","77,78%","90,16%","100,00%","63,64%","60,87%","80,52%","71,80%"
21-03-02,"73,26%","78,57%","72,22%","89,23%","100,00%","54,55%","58,70%","88,24%","78,21%"
21-03-04,"72,83%","82,81%","80,56%","86,15%","100,00%","73,91%","50,00%","78,49%","74,73%"
21-03-07,"70,37%","78,95%","74,29%","87,69%","100,00%","52,17%","50,00%","89,47%","76,76%"
21-03-09,"76,17%","83,54%","82,54%","87,69%","100,00%","69,57%","55,36%","77,78%","76,68%"
21-03-11,"75,96%","83,55%","86,44%","89,23%","100,00%","56,52%","55,36%","85,57%","79,02%"
21-03-13,"69,08%","74,17%","77,97%","81,67%","100,00%","34,78%","55,36%","82,61%","73,24%"
21-03-15,"72,20%","77,85%","86,44%","86,44%","100,00%","26,09%","57,14%","74,47%","72,91%"
21-03-17,"72,12%","78,95%","84,75%","85,94%","100,00%","39,13%","53,57%","74,74%","72,94%"
21-03-19,"75,00%","81,25%","83,05%","84,29%","100,00%","60,87%","57,14%","69,15%","73,23%"
21-03-21,"77,63%","83,33%","83,05%","90,00%","100,00%","56,52%","61,40%","78,57%","77,92%"
21-03-23,"75,81%","79,25%","86,44%","88,57%","100,00%","26,09%","66,07%","78,57%","76,68%"
21-03-24,"73,97%","77,30%","83,05%","85,71%","100,00%","26,09%","64,29%","83,16%","76,75%"
